id,url,reposted,poster,reposts,comments,creat_at,text
'3552526273612712,http://api.t.sina.com.cn/1868544977/statuses/3552526273612712,_Hazel_Yan,潮爸辣妈宝贝女,0,0,2013-03-05 16:22:09, //@崔玉涛: 配方粉之所以有不同＂阶段＂之分，是为了满足不同年龄婴幼儿生长发育需要，但分段的年龄界限实际上没有太多的科学依据，与商家营销关系较大。凭什么到了六个月就必须由一阶段换成二阶段...？不要过于机械地理解商家的分段标准。有一点必须清楚，每个阶段的奶粉可后延，但不能提前
'3552514865278674,http://api.t.sina.com.cn/1745858204/statuses/3552514865278674,_Hazel_Yan,番禺阿Sam,0,0,2013-03-05 15:36:49,@mandyMHfung //@崔玉涛: 配方粉之所以有不同＂阶段＂，是为了满足不同年龄婴幼儿生长发育需要，但分段的年龄界限实际上没有太多的科学依据，与商家营销关系较大。凭什么到了六个月就必须由一阶段换成二阶段？不要过于机械地理解商家的分段标准。有一点必须清楚，每个阶段的奶粉可后延，但不能提前用。
'3552494574008480,http://api.t.sina.com.cn/1828327017/statuses/3552494574008480,_Hazel_Yan,Cherna_MISS,0,2,2013-03-05 14:16:09,一段喝久点把//@崔玉涛:配方粉之所以有不同＂阶段＂之分，是为了满足不同年龄婴幼儿生长发育需要，但分段的年龄界限实际上没有太多的科学依据，与商家营销关系较大。凭什么到了六个月就必须由一阶段换成二阶段?不要过于机械地理解商家的分段标准。有一点必须清楚，每个阶段的奶粉可后延，但不能提前用
'3552480430070300,http://api.t.sina.com.cn/1741533874/statuses/3552480430070300,_Hazel_Yan,2种口味,0,0,2013-03-05 13:19:59,//@崔玉涛:配方粉之所以有不同＂阶段＂之分，是为了满足不同年龄婴幼儿生长发育需要，但分段的年龄界限实际上没有太多的科学依据，与商家营销关系较大。凭什么到了六个月就必须由一阶段换成二阶段...？不要过于机械地理解商家的分段标准。有一点必须清楚，每个阶段的奶粉可后延，但不能提前用
'3552468606428009,http://api.t.sina.com.cn/2567649782/statuses/3552468606428009,_Hazel_Yan,凡心纠结,0,0,2013-03-05 12:32:59,//@夏隆江: 老崔是为数不多没有脑残的儿科医生，奶粉公司凭空捏造的理论比医学界真实产生的认识还多，为了商业目的，它们无中生有，它们无理取闹！但可怕的是怎么会有那么多的盲从着，放弃了理性和思考，跟着群魔乱舞？不认自己的母亲，去找牛当妈妈，这是什么道理? //@崔玉涛:配方粉之所以有不同＂
'3552456522629347,http://api.t.sina.com.cn/2368692180/statuses/3552456522629347,_Hazel_Yan,iHerb-KellyC,0,0,2013-03-05 11:45:00,何为益生元？是一类能通过促进肠道正常菌群生长，保证人体健康，且不被肠道消化的物质。多指低聚的碳水化合物，如低聚果糖、低聚半乳糖等。从营养和医学角度，没有依据应给配方粉喂养儿提供助于奶粉消化吸收的伴侣性营养素。正常母乳\配方粉喂养，正常添加辅食，没必要添加＂伴侣＂等。#崔玉涛谈喂养#
'3552454698069677,http://api.t.sina.com.cn/3077802654/statuses/3552454698069677,_Hazel_Yan,手机用户3077802654,0,0,2013-03-05 11:37:44,//@崔玉涛:配方粉之所以有不同＂阶段＂之分，是为了满足不同年龄婴幼儿生长发育需要，但分段的年龄界限实际上没有太多的科学依据，与商家营销关系较大。凭什么到了六个月就必须由一阶段换成二阶段...？不要过于机械地理解商家的分段标准。有一点必须清楚，每个阶段的奶粉可后延，但不能提前用。
'3552451548136353,http://api.t.sina.com.cn/1652430303/statuses/3552451548136353,_Hazel_Yan,Shannon香侬,0,0,2013-03-05 11:25:11,崔玉涛:配方粉之所以有不同＂阶段＂之分，是为了满足不同年龄婴幼儿生长发育需要，但分段的年龄界限实际上没有太多的科学依据，与商家营销关系较大。凭什么到了六个月就必须由一阶段换成二阶段...？不要过于机械地理解商家的分段标准。有一点必须清楚，每个阶段的奶粉可后延，但不能提前用@Ethan_Yin
'3552444741324521,http://api.t.sina.com.cn/1905221121/statuses/3552444741324521,_Hazel_Yan,冯小闹儿hilary,0,0,2013-03-05 10:58:10, @燕子566小屋 同理辅食 //@崔玉涛:配方粉之所以有不同＂阶段＂之分是为了满足不同年龄婴幼儿生长发育需要但分段的年龄界限实际上没有太多的科学依据与商家营销关系较大凭什么到了六个月就必须由一阶段换成二阶段.不要过于机械地理解商家的分段标准。有一点必须清楚，每个阶段的奶粉可后延但不能提前用
'3552441708874067,http://api.t.sina.com.cn/1433257521/statuses/3552441708874067,_Hazel_Yan,蜜糖情人,0,0,2013-03-05 10:46:06, @厦门阮德成  //@崔玉涛:配方粉之所以有不同＂阶段＂之分，是为满足不同年龄婴幼儿生长发育需要，但分段的年龄界限实际上没太多的科学依据，与商家营销关系较大。凭什么到六个月就必须由一阶段换成二阶段...？不要过于机械地理解商家的分段标准。有一点必须清楚，每个阶段的奶粉可后延，但不能提前
'3552436054441934,http://api.t.sina.com.cn/1737451313/statuses/3552436054441934,_Hazel_Yan,许枫杰Josh,0,0,2013-03-05 10:23:39,@Mary小M 看来多买的一箱一段可以再接着喝了
